Timestep,Reward
122,-0.19567274723947597
123,-0.2747546935342562
124,-0.29566438405728745
125,-0.2475737978779816
126,-0.19848007207870091
127,-0.15557847962428425
128,-0.11869932233227651
129,-0.0883219871526068
130,-0.7937891533515026
131,-0.7118327375100695
132,-0.47097438608616693
133,-0.14707636363142362
134,-0.03757952814922888
135,-0.13815687865023216
136,-0.2155662841761898
137,-0.28809762770251146
138,-0.2993041551280814
139,-0.23506617010143838
140,-0.4628237950394858
141,-0.346518857637032
142,-0.13240841128213146
143,-0.2315162736585421
144,-0.269266493338327
145,-0.28187335997572766
146,-0.25699914535691604
147,-0.19912380472874394
148,-0.14766775415365171
149,-0.10799350297934508
150,-0.810491396370469
151,-0.2037655355129866
152,-0.07217540395677709
153,-0.12950446328503146
154,-0.12592667035746233
155,-0.115155605839384
156,-0.09468886961209426
157,-0.06966224462342047
158,-0.048959784297245394
159,-0.03339275369157166
160,-0.6642914853437714
161,-0.6710776414848466
162,-0.525268086906936
163,-0.3536276606922214
164,-0.2154765684046632
165,-0.12121503593712411
166,-0.06477423664628827
167,-0.033270598067160824
168,-0.016548182051496052
169,-0.008019560223819002
170,-0.0038051511614677377
171,-0.0017745739317402477
172,-0.000816493403467523
173,-0.000372347053695616
174,-0.00016946473897019542
175,-7.785333745673684e-05
176,-3.6792861412878124e-05
177,-1.840944541442569e-05
178,-1.0099771577226303e-05
179,-6.241240381645372e-06
180,-4.349960993683596e-06
181,-3.3426463071494784e-06
182,-2.7551464313429277e-06
183,-2.353487351053254e-06
184,-2.049980325820146e-06
185,-1.804792979479339e-06
186,-1.5987027688681312e-06
187,-1.424523896285288e-06
188,-1.2720251546574537e-06
189,-1.137637866555903e-06
190,-1.0185978737215436e-06
191,-9.128799308068667e-07
192,-8.927336371085909e-07
193,-9.013961654931243e-07
194,-8.558604883840837e-07
195,-7.89776611565914e-07
196,-7.202805613521398e-07
197,-6.550047979084597e-07
198,-5.952495487579945e-07
199,-5.407198662775066e-07
200,-4.909754026224719e-07
201,-4.456283532108322e-07
202,-4.043264470572454e-07
203,-3.667389202178478e-07
204,-3.325554617159932e-07
205,-3.0148679914814285e-07
206,-2.7326507909657245e-07
207,-2.4764320374406713e-07
208,-2.2438945828935265e-07
209,-2.032928984682657e-07
210,-1.8415974715162103e-07
211,-1.6681232515483676e-07
212,-1.5108797806281693e-07
213,-1.368380187172441e-07
214,-1.2392669961827049e-07
215,-1.1223022535448078e-07
216,-1.0163581191639372e-07
217,-9.204079719309957e-08
218,-8.335180496852269e-08
0,-1.548506465397554
1,-1.4769317678304918
2,-1.144836487056297
3,-0.7706564303177003
4,-0.4702591468282145
5,-0.2648338260556832
6,-0.1416442316270115
7,-0.07274651487586133
8,-0.03617955838268111
9,-0.017532400620537437
10,-0.008316708674427903
11,-0.06932524151212568
12,-0.284924837246944
13,-0.43329702670974435
14,-0.48472171889142035
15,-0.45973473762108497
16,-0.39969402505067836
17,-0.31928546246788486
18,-0.24289930533269455
19,-0.1695876701887206
20,-0.594040352722409
21,-0.17251112545781402
22,-0.18355688454718577
23,-0.18084225993325265
24,-0.20114457510240374
25,-0.19587495499317448
26,-0.1791578865205946
27,-0.13959455908289062
28,-0.09754931571488232
29,-0.06855662536695642
30,-0.8041073914520992
31,-0.22333207762187113
32,-0.07918342050499795
33,-0.14153853223382962
34,-0.14335796726296596
35,-0.032986989641491625
36,-0.029743209428326298
37,-0.013115346291396244
38,-0.024541277228489672
39,-0.032358551740629446
40,-0.5832083375261425
41,-0.1750345934070191
42,-0.2015703173552247
43,-0.20115065769978022
44,-0.19970187478361895
45,-0.1880291054271155
46,-0.16429164947136726
47,-0.1374485922104932
48,-0.10876739488476438
49,-0.07827788324758966
50,-0.8038977257165435
51,-1.0451443031117515
52,-0.8901441603332299
53,-0.25121202104216467
54,-0.6526908428064087
55,-1.0756655130792017
56,-1.2603747760885595
57,-1.0922641189763846
58,-0.911930928666336
59,-0.606006012824363
60,-1.1199233185717947
61,-1.353517253494827
62,-1.098550238133399
63,-0.8659474637447551
64,-0.4731993767148257
65,-0.12297650284915804
66,-0.19781708769388126
67,-0.2789603116674912
68,-0.36916445793779945
69,-0.4014865008090219
